DATE,FIELD,FORMATION,WELL_NAME,OIL,WATER,GAS
4/30/1999,BERNOULLI,Apollo,BEAP-1,374.597339622,9.6814323254,28145.4028471
5/31/1999,BERNOULLI,Apollo,BEAP-1,0,0,0
6/30/1999,BERNOULLI,Apollo,BEAP-1,0,0,0
7/31/1999,BERNOULLI,Apollo,BEAP-1,0,0,0
8/31/1999,BERNOULLI,Apollo,BEAP-1,0,0,0
9/30/1999,BERNOULLI,Apollo,BEAP-1,0,0,0
10/31/1999,BERNOULLI,Apollo,BEAP-1,0,0,0
11/30/1999,BERNOULLI,Apollo,BEAP-1,0,0,0
12/31/1999,BERNOULLI,Apollo,BEAP-1,0,0,0
1/31/2000,BERNOULLI,Apollo,BEAP-1,0,0,0
2/29/2000,BERNOULLI,Apollo,BEAP-1,0,0,0
3/31/2000,BERNOULLI,Apollo,BEAP-1,0,0,0
4/30/2000,BERNOULLI,Apollo,BEAP-1,0,0,0
5/31/2000,BERNOULLI,Apollo,BEAP-1,0,0,0
6/30/2000,BERNOULLI,Apollo,BEAP-1,0,0,0
7/31/2000,BERNOULLI,Apollo,BEAP-1,0,0,0
8/31/2000,BERNOULLI,Apollo,BEAP-1,0,0,0
9/30/2000,BERNOULLI,Apollo,BEAP-1,0,0,0
10/31/2000,BERNOULLI,Apollo,BEAP-1,0,0,0
11/30/2000,BERNOULLI,Apollo,BEAP-1,1046.193371168,40.2707804191,737798.109477
12/31/2000,BERNOULLI,Apollo,BEAP-1,1073.275763109,41.3116761431,756897.545173
1/31/2001,BERNOULLI,Apollo,BEAP-1,1181.851657349,3.5038558423,833456.535219
2/28/2001,BERNOULLI,Apollo,BEAP-1,1129.889499508,4.2730414562,796824.977916
3/31/2001,BERNOULLI,Apollo,BEAP-1,0,0,0
4/30/2001,BERNOULLI,Apollo,BEAP-1,0,0,0
5/31/2001,BERNOULLI,Apollo,BEAP-1,0,0,0
6/30/2001,BERNOULLI,Apollo,BEAP-1,0,0,0
7/31/2001,BERNOULLI,Apollo,BEAP-1,0,0,0
8/31/2001,BERNOULLI,Apollo,BEAP-1,0,0,0
9/30/2001,BERNOULLI,Apollo,BEAP-1,0,0,0
10/31/2001,BERNOULLI,Apollo,BEAP-1,0,0,0
11/30/2001,BERNOULLI,Apollo,BEAP-1,0,0,0
12/31/2001,BERNOULLI,Apollo,BEAP-1,0,0,0
1/31/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
2/28/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
3/31/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
4/30/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
5/31/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
6/30/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
7/31/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
8/31/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
9/30/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
10/31/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
11/30/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
12/31/2002,BERNOULLI,Apollo,BEAP-1,0,0,0
1/31/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
2/28/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
3/31/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
4/30/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
5/31/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
6/30/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
7/31/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
8/31/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
9/30/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
10/31/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
11/30/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
12/31/2003,BERNOULLI,Apollo,BEAP-1,0,0,0
1/31/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
2/29/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
3/31/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
4/30/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
5/31/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
6/30/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
7/31/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
8/31/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
9/30/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
10/31/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
11/30/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
12/31/2004,BERNOULLI,Apollo,BEAP-1,0,0,0
1/31/2005,BERNOULLI,Apollo,BEAP-1,0,0,0
2/28/2005,BERNOULLI,Apollo,BEAP-1,0,0,0
3/31/2005,BERNOULLI,Apollo,BEAP-1,0,0,0
4/30/2005,BERNOULLI,Apollo,BEAP-1,0,0,0
5/31/2005,BERNOULLI,Apollo,BEAP-1,0,0,0
6/30/2005,BERNOULLI,Apollo,BEAP-1,1049.721660746,43.7384025331,481116.581011
7/31/2005,BERNOULLI,Apollo,BEAP-1,1022.687829251,42.6119928905,463711.032301
8/31/2005,BERNOULLI,Apollo,BEAP-1,1039.861370867,43.3275571245,498031.886968
9/30/2005,BERNOULLI,Apollo,BEAP-1,1036.002737616,43.166780734,479150.32
10/31/2005,BERNOULLI,Apollo,BEAP-1,1037.516451609,44.0130815355,372987.415746
11/30/2005,BERNOULLI,Apollo,BEAP-1,1014.826575653,42.284440627,308934.345973
12/31/2005,BERNOULLI,Apollo,BEAP-1,0,0,0
1/31/2006,BERNOULLI,Apollo,BEAP-1,0,0,0
2/28/2006,BERNOULLI,Apollo,BEAP-1,0,0,0
3/31/2006,BERNOULLI,Apollo,BEAP-1,0,0,0
4/30/2006,BERNOULLI,Apollo,BEAP-1,3189.26323298,46.1325856101,529914.979803
5/31/2006,BERNOULLI,Apollo,BEAP-1,2355.20312786,358.900449941,525618.809705
6/30/2006,BERNOULLI,Apollo,BEAP-1,1666.97247805,714.416776359,528148.006639
7/31/2006,BERNOULLI,Apollo,BEAP-1,1670.90361559,716.101549504,567911.69468
8/31/2006,BERNOULLI,Apollo,BEAP-1,1746.42619393,748.468368758,603585.052862
9/30/2006,BERNOULLI,Apollo,BEAP-1,1855.90801759,1030.418638315,419964.722914
10/31/2006,BERNOULLI,Apollo,BEAP-1,1965.90868199,957.831705831,459419.284874
11/30/2006,BERNOULLI,Apollo,BEAP-1,2057.20784654,881.66050566,493934.796718
12/31/2006,BERNOULLI,Apollo,BEAP-1,2038.33441053,873.571890158,494444.841121
1/31/2007,BERNOULLI,Apollo,BEAP-1,1756.67679121,495.472940974,529201.122274
2/28/2007,BERNOULLI,Apollo,BEAP-1,1862.70251123,525.377631295,545655.152878
3/31/2007,BERNOULLI,Apollo,BEAP-1,1842.82028975,632.163929727,451591.294055
4/30/2007,BERNOULLI,Apollo,BEAP-1,1868.97907405,800.991031753,329944.514328
5/31/2007,BERNOULLI,Apollo,BEAP-1,1776.42139697,778.766766338,323027.626163
6/30/2007,BERNOULLI,Apollo,BEAP-1,1487.30550705,732.553458494,420983.989767
7/31/2007,BERNOULLI,Apollo,BEAP-1,1391.31705405,744.554538453,246556.164855
8/31/2007,BERNOULLI,Apollo,BEAP-1,1401.90044489,754.869470344,249312.625199
9/30/2007,BERNOULLI,Apollo,BEAP-1,1212.94722967,593.677668452,228652.935885
10/31/2007,BERNOULLI,Apollo,BEAP-1,360.338235103,140.131535907,61700.220538
11/30/2007,BERNOULLI,Apollo,BEAP-1,359.028042263,139.622016402,56497.7116891
12/31/2007,BERNOULLI,Apollo,BEAP-1,358.606937821,139.45825355,55985.4664171
1/31/2008,BERNOULLI,Apollo,BEAP-1,364.046827265,141.573766125,58195.4748012
2/29/2008,BERNOULLI,Apollo,BEAP-1,1068.318950798,1835.60388605,168162.948514
3/31/2008,BERNOULLI,Apollo,BEAP-1,1253.79892781,1196.763413725,182650.288678
4/30/2008,BERNOULLI,Apollo,BEAP-1,1311.51508686,930.391044264,185341.667478
5/31/2008,BERNOULLI,Apollo,BEAP-1,1308.47048002,928.231194748,177065.812946
6/30/2008,BERNOULLI,Apollo,BEAP-1,1408.40002281,968.656856607,222254.698248
7/31/2008,BERNOULLI,Apollo,BEAP-1,1351.78637099,1234.5440272,37902.2019464
8/31/2008,BERNOULLI,Apollo,BEAP-1,1223.09527098,1347.62308285,227091.192999
9/30/2008,BERNOULLI,Apollo,BEAP-1,1322.1943339,1370.36858299,276532.04238
10/31/2008,BERNOULLI,Apollo,BEAP-1,1313.94340077,1650.37525532,341205.095946
11/30/2008,BERNOULLI,Apollo,BEAP-1,1453.69026231,1571.54852393,373489.408446
12/31/2008,BERNOULLI,Apollo,BEAP-1,1488.85234443,1404.51574615,357769.672513
1/31/2009,BERNOULLI,Apollo,BEAP-1,1465.68481444,898.32295102,319358.950449
2/28/2009,BERNOULLI,Apollo,BEAP-1,1446.92425449,1021.396106093,311765.151379
3/31/2009,BERNOULLI,Apollo,BEAP-1,1189.320732523,1288.43079398,256723.015736
4/30/2009,BERNOULLI,Apollo,BEAP-1,1123.866846355,1217.52241633,246450.904293
5/31/2009,BERNOULLI,Apollo,BEAP-1,1120.485652121,1213.85945593,248860.780949
6/30/2009,BERNOULLI,Apollo,BEAP-1,1039.067414,1125.656365207,231936.887864
7/31/2009,BERNOULLI,Apollo,BEAP-1,1029.853234839,1227.72580304,205050.879407
8/31/2009,BERNOULLI,Apollo,BEAP-1,1186.298489871,834.967656545,154814.225368
9/30/2009,BERNOULLI,Apollo,BEAP-1,1250.56604134,833.710693904,172903.421295
10/31/2009,BERNOULLI,Apollo,BEAP-1,1286.31868453,857.545789485,179347.518174
11/30/2009,BERNOULLI,Apollo,BEAP-1,1330.97928238,859.710764682,187451.961565
12/31/2009,BERNOULLI,Apollo,BEAP-1,0,0,0
1/31/2010,BERNOULLI,Apollo,BEAP-1,369.410088377,1782.54513074,52396.3497156
2/28/2010,BERNOULLI,Apollo,BEAP-1,767.924816527,1426.1460873,109416.7686513
3/31/2010,BERNOULLI,Apollo,BEAP-1,939.951324202,1292.97503005,174880.357289
4/30/2010,BERNOULLI,Apollo,BEAP-1,976.647365067,1071.14939393,208476.156119
5/31/2010,BERNOULLI,Apollo,BEAP-1,768.804767731,1306.48774377,173482.070641
6/30/2010,BERNOULLI,Apollo,BEAP-1,806.25953958,1251.74027374,182761.188808
7/31/2010,BERNOULLI,Apollo,BEAP-1,814.828449336,1222.24267352,184513.044958
8/31/2010,BERNOULLI,Apollo,BEAP-1,797.70091555,1196.551373446,160607.978586
9/30/2010,BERNOULLI,Apollo,BEAP-1,861.767755365,1129.533203513,178443.931798
10/31/2010,BERNOULLI,Apollo,BEAP-1,1001.600555461,1001.600555461,200573.884126
11/30/2010,BERNOULLI,Apollo,BEAP-1,984.061033978,984.061033978,188553.218381
12/31/2010,BERNOULLI,Apollo,BEAP-1,968.115832574,968.115832574,191313.32506
1/31/2011,BERNOULLI,Apollo,BEAP-1,945.576244547,901.937292773,173952.187101
2/28/2011,BERNOULLI,Apollo,BEAP-1,948.398179443,793.432279244,193554.465401
3/31/2011,BERNOULLI,Apollo,BEAP-1,975.714082024,766.632492967,180433.907962
4/30/2011,BERNOULLI,Apollo,BEAP-1,948.946213369,784.034698084,172045.489913
5/31/2011,BERNOULLI,Apollo,BEAP-1,715.681501029,804.747871092,154386.423334
6/30/2011,BERNOULLI,Apollo,BEAP-1,628.246875014,901.385371722,152396.815615
7/31/2011,BERNOULLI,Apollo,BEAP-1,597.670267216,896.505400824,173280.258855
8/31/2011,BERNOULLI,Apollo,BEAP-1,597.929915913,896.89487393,165198.884477
9/30/2011,BERNOULLI,Apollo,BEAP-1,612.734163184,846.323851758,155070.314971
10/31/2011,BERNOULLI,Apollo,BEAP-1,628.836465543,870.178713536,113361.9291717
11/30/2011,BERNOULLI,Apollo,BEAP-1,0,0,0
12/31/2011,BERNOULLI,Apollo,BEAP-1,0,0,0
1/31/2012,BERNOULLI,Apollo,BEAP-1,0,0,0
2/29/2012,BERNOULLI,Apollo,BEAP-1,0,0,0
3/31/2012,BERNOULLI,Apollo,BEAP-1,0,0,0
